segment,country,product,discount_band,units_sold,sale_price,sales,date,month_name,year
Government,Canada, Carretera , None ,1618.5, $20.00 ," $32,370.00 ",01/01/2014, January ,2014
Government,Germany, Carretera , None ,1321.0, $20.00 ," $26,420.00 ",01/01/2014, January ,2014
Midmarket,France, Carretera , None ,2178.0, $15.00 ," $32,670.00 ",01/06/2014, June ,2014
Midmarket,Germany, Carretera , None ,888.0, $15.00 ," $13,320.00 ",01/06/2014, June ,2014
Midmarket,Mexico, Carretera , None ,2470.0, $15.00 ," $37,050.00 ",01/06/2014, June ,2014
Government,Germany, Carretera , None ,1513.0, $350.00 ," $529,550.00 ",01/12/2014, December ,2014
Midmarket,Germany, Montana , None ,921.0, $15.00 ," $13,815.00 ",01/03/2014, March ,2014
Channel Partners,Canada, Montana , None ,2518.0, $12.00 ," $30,216.00 ",01/06/2014, June ,2014
Government,France, Montana , None ,1899.0, $20.00 ," $37,980.00 ",01/06/2014, June ,2014
Channel Partners,Germany, Montana , None ,1545.0, $12.00 ," $18,540.00 ",01/06/2014, June ,2014
Midmarket,Mexico, Montana , None ,2470.0, $15.00 ," $37,050.00 ",01/06/2014, June ,2014
Enterprise,Canada, Montana , None ,2665.5, $125.00 ," $333,187.50 ",01/07/2014, July ,2014
Small Business,Mexico, Montana , None ,958.0, $300.00 ," $287,400.00 ",01/08/2014, August ,2014
Government,Germany, Montana , None ,2146.0, $7.00 ," $15,022.00 ",01/09/2014, September ,2014
Enterprise,Canada, Montana , None ,345.0, $125.00 ," $43,125.00 ",01/10/2013, October ,2013
Midmarket,United States of America, Montana , None ,615.0, $15.00 ," $9,225.00 ",01/12/2014, December ,2014
Government,Canada, Paseo , None ,292.0, $20.00 ," $5,840.00 ",01/02/2014, February ,2014
Midmarket,Mexico, Paseo , None ,974.0, $15.00 ," $14,610.00 ",01/02/2014, February ,2014
Channel Partners,Canada, Paseo , None ,2518.0, $12.00 ," $30,216.00 ",01/06/2014, June ,2014
Government,Germany, Paseo , None ,1006.0, $350.00 ," $352,100.00 ",01/06/2014, June ,2014
Channel Partners,Germany, Paseo , None ,367.0, $12.00 ," $4,404.00 ",01/07/2014, July ,2014
Government,Mexico, Paseo , None ,883.0, $7.00 ," $6,181.00 ",01/08/2014, August ,2014
Midmarket,France, Paseo , None ,549.0, $15.00 ," $8,235.00 ",01/09/2013, September ,2013
Small Business,Mexico, Paseo , None ,788.0, $300.00 ," $236,400.00 ",01/09/2013, September ,2013
Midmarket,Mexico, Paseo , None ,2472.0, $15.00 ," $37,080.00 ",01/09/2014, September ,2014
Government,United States of America, Paseo , None ,1143.0, $7.00 ," $8,001.00 ",01/10/2014, October ,2014
Government,Canada, Paseo , None ,1725.0, $350.00 ," $603,750.00 ",01/11/2013, November ,2013
Channel Partners,United States of America, Paseo , None ,912.0, $12.00 ," $10,944.00 ",01/11/2013, November ,2013
Midmarket,Canada, Paseo , None ,2152.0, $15.00 ," $32,280.00 ",01/12/2013, December ,2013
Government,Canada, Paseo , None ,1817.0, $20.00 ," $36,340.00 ",01/12/2014, December ,2014
Government,Germany, Paseo , None ,1513.0, $350.00 ," $529,550.00 ",01/12/2014, December ,2014
Government,Mexico, Velo , None ,1493.0, $7.00 ," $10,451.00 ",01/01/2014, January ,2014
Enterprise,France, Velo , None ,1804.0, $125.00 ," $225,500.00 ",01/02/2014, February ,2014
Channel Partners,Germany, Velo , None ,2161.0, $12.00 ," $25,932.00 ",01/03/2014, March ,2014
Government,Germany, Velo , None ,1006.0, $350.00 ," $352,100.00 ",01/06/2014, June ,2014
Channel Partners,Germany, Velo , None ,1545.0, $12.00 ," $18,540.00 ",01/06/2014, June ,2014
Enterprise,United States of America, Velo , None ,2821.0, $125.00 ," $352,625.00 ",01/08/2014, August ,2014
Enterprise,Canada, Velo , None ,345.0, $125.00 ," $43,125.00 ",01/10/2013, October ,2013
Small Business,Canada, VTT , None ,2001.0, $300.00 ," $600,300.00 ",01/02/2014, February ,2014
Channel Partners,Germany, VTT , None ,2838.0, $12.00 ," $34,056.00 ",01/04/2014, April ,2014
Midmarket,France, VTT , None ,2178.0, $15.00 ," $32,670.00 ",01/06/2014, June ,2014
Midmarket,Germany, VTT , None ,888.0, $15.00 ," $13,320.00 ",01/06/2014, June ,2014
Government,France, VTT , None ,1527.0, $350.00 ," $534,450.00 ",01/09/2013, September ,2013
Small Business,France, VTT , None ,2151.0, $300.00 ," $645,300.00 ",01/09/2014, September ,2014
Government,Canada, VTT , None ,1817.0, $20.00 ," $36,340.00 ",01/12/2014, December ,2014
Government,France, Amarilla , None ,2750.0, $350.00 ," $962,500.00 ",01/02/2014, February ,2014
Channel Partners,United States of America, Amarilla , None ,1953.0, $12.00 ," $23,436.00 ",01/04/2014, April ,2014
Enterprise,Germany, Amarilla , None ,4219.5, $125.00 ," $527,437.50 ",01/04/2014, April ,2014
Government,France, Amarilla , None ,1899.0, $20.00 ," $37,980.00 ",01/06/2014, June ,2014
