quantity,price,total_sales
1618.5,20.0,32370.0
1321.0,20.0,26420.0
2178.0,15.0,32670.0
888.0,15.0,13320.0
2470.0,15.0,37050.0
1513.0,350.0,529550.0
921.0,15.0,13815.0
2518.0,12.0,30216.0
1899.0,20.0,37980.0
1545.0,12.0,18540.0
2470.0,15.0,37050.0
2665.5,125.0,333187.5
958.0,300.0,287400.0
2146.0,7.0,15022.0
345.0,125.0,43125.0
615.0,15.0,9225.0
292.0,20.0,5840.0
974.0,15.0,14610.0
2518.0,12.0,30216.0
1006.0,350.0,352100.0
367.0,12.0,4404.0
883.0,7.0,6181.0
549.0,15.0,8235.0
788.0,300.0,236400.0
2472.0,15.0,37080.0
1143.0,7.0,8001.0
1725.0,350.0,603750.0
912.0,12.0,10944.0
2152.0,15.0,32280.0
1817.0,20.0,36340.0
1513.0,350.0,529550.0
1493.0,7.0,10451.0
1804.0,125.0,225500.0
2161.0,12.0,25932.0
1006.0,350.0,352100.0
1545.0,12.0,18540.0
2821.0,125.0,352625.0
345.0,125.0,43125.0
2001.0,300.0,600300.0
2838.0,12.0,34056.0
2178.0,15.0,32670.0
888.0,15.0,13320.0
1527.0,350.0,534450.0
2151.0,300.0,645300.0
1817.0,20.0,36340.0
2750.0,350.0,962500.0
1953.0,12.0,23436.0
4219.5,125.0,527437.5
1899.0,20.0,37980.0
1686.0,7.0,11802.0
2141.0,12.0,25692.0
1143.0,7.0,8001.0
615.0,15.0,9225.0
3945.0,7.0,27615.0
2296.0,15.0,34440.0
1030.0,7.0,7210.0
639.0,7.0,4473.0
1326.0,7.0,9282.0
1858.0,12.0,22296.0
1210.0,350.0,423500.0
2529.0,7.0,17703.0
1445.0,12.0,17340.0
330.0,125.0,41250.0
2671.0,12.0,32052.0
766.0,12.0,9192.0
494.0,300.0,148200.0
1397.0,350.0,488950.0
2155.0,350.0,754250.0
2214.0,15.0,33210.0
2301.0,300.0,690300.0
1375.5,20.0,27510.0
1830.0,7.0,12810.0
2498.0,300.0,749400.0
663.0,125.0,82875.0
1514.0,15.0,22710.0
4492.5,7.0,31447.5
727.0,125.0,90875.0
787.0,125.0,98375.0
1823.0,125.0,227875.0
747.0,15.0,11205.0
766.0,12.0,9192.0
2905.0,300.0,871500.0
2155.0,350.0,754250.0
3864.0,20.0,77280.0
362.0,7.0,2534.0
923.0,125.0,115375.0
663.0,125.0,82875.0
2092.0,7.0,14644.0
263.0,7.0,1841.0
943.5,350.0,330225.0
727.0,125.0,90875.0
787.0,125.0,98375.0
986.0,300.0,295800.0
494.0,300.0,148200.0
1397.0,350.0,488950.0
1744.0,125.0,218000.0
1989.0,12.0,23868.0
321.0,15.0,4815.0
742.5,125.0,92812.5
1295.0,12.0,15540.0
214.0,300.0,64200.0
2145.0,7.0,15015.0
2852.0,350.0,998200.0
1142.0,12.0,13704.0
1566.0,20.0,31320.0
690.0,12.0,8280.0
1660.0,125.0,207500.0
2363.0,15.0,35445.0
918.0,300.0,275400.0
1728.0,300.0,518400.0
1142.0,12.0,13704.0
662.0,125.0,82750.0
1295.0,12.0,15540.0
809.0,125.0,101125.0
2145.0,125.0,268125.0
1785.0,12.0,21420.0
1916.0,300.0,574800.0
2852.0,350.0,998200.0
2729.0,125.0,341125.0
1925.0,15.0,28875.0
2013.0,7.0,14091.0
1055.0,12.0,12660.0
1084.0,12.0,13008.0
1566.0,20.0,31320.0
2966.0,350.0,1038100.0
2877.0,350.0,1006950.0
809.0,125.0,101125.0
2145.0,125.0,268125.0
1055.0,12.0,12660.0
544.0,20.0,10880.0
1084.0,12.0,13008.0
662.0,125.0,82750.0
214.0,300.0,64200.0
2877.0,350.0,1006950.0
2729.0,125.0,341125.0
266.0,350.0,93100.0
1940.0,350.0,679000.0
259.0,300.0,77700.0
1101.0,300.0,330300.0
2276.0,125.0,284500.0
2966.0,350.0,1038100.0
1236.0,20.0,24720.0
941.0,20.0,18820.0
1916.0,300.0,574800.0
4243.5,125.0,530437.5
2580.0,20.0,51600.0
689.0,300.0,206700.0
1947.0,12.0,23364.0
908.0,12.0,10896.0
1958.0,7.0,13706.0
1901.0,12.0,22812.0
544.0,7.0,3808.0
1797.0,350.0,628950.0
1287.0,125.0,160875.0
1706.0,125.0,213250.0
2434.5,300.0,730350.0
1774.0,125.0,221750.0
1901.0,12.0,22812.0
689.0,300.0,206700.0
1570.0,125.0,196250.0
1369.5,12.0,16434.0
2009.0,125.0,251125.0
1945.0,15.0,29175.0
1287.0,125.0,160875.0
1706.0,125.0,213250.0
2009.0,125.0,251125.0
2844.0,300.0,853200.0
1916.0,12.0,22992.0
1570.0,125.0,196250.0
1874.0,300.0,562200.0
1642.0,350.0,574700.0
1945.0,15.0,29175.0
831.0,20.0,16620.0
1760.0,7.0,12320.0
3850.5,20.0,77010.0
2479.0,12.0,29748.0
2031.0,15.0,30465.0
2031.0,15.0,30465.0
2261.0,15.0,33915.0
736.0,20.0,14720.0
2851.0,7.0,19957.0
2021.0,300.0,606300.0
274.0,350.0,95900.0
1967.0,15.0,29505.0
1859.0,300.0,557700.0
2851.0,7.0,19957.0
2021.0,300.0,606300.0
1138.0,125.0,142250.0
4251.0,7.0,29757.0
795.0,125.0,99375.0
1414.5,300.0,424350.0
2918.0,300.0,875400.0
3450.0,350.0,1207500.0
2988.0,125.0,373500.0
218.0,15.0,3270.0
2074.0,20.0,41480.0
1056.0,20.0,21120.0
671.0,15.0,10065.0
1514.0,15.0,22710.0
274.0,350.0,95900.0
1138.0,125.0,142250.0
1465.0,12.0,17580.0
2646.0,20.0,52920.0
2177.0,350.0,761950.0
866.0,12.0,10392.0
349.0,350.0,122150.0
2177.0,350.0,761950.0
1514.0,15.0,22710.0
1865.0,350.0,652750.0
1074.0,125.0,134250.0
1907.0,350.0,667450.0
671.0,15.0,10065.0
1778.0,350.0,622300.0
1159.0,7.0,8113.0
1372.0,7.0,9604.0
2349.0,7.0,16443.0
2689.0,7.0,18823.0
2431.0,12.0,29172.0
2431.0,12.0,29172.0
2689.0,7.0,18823.0
1683.0,7.0,11781.0
1123.0,12.0,13476.0
1159.0,7.0,8113.0
1865.0,12.0,22380.0
1116.0,12.0,13392.0
1563.0,20.0,31260.0
991.0,300.0,297300.0
1016.0,7.0,7112.0
2791.0,15.0,41865.0
570.0,7.0,3990.0
2487.0,7.0,17409.0
1384.5,350.0,484575.0
3627.0,125.0,453375.0
720.0,350.0,252000.0
2342.0,12.0,28104.0
1100.0,300.0,330000.0
1303.0,20.0,26060.0
2992.0,125.0,374000.0
2385.0,125.0,298125.0
1607.0,300.0,482100.0
2327.0,7.0,16289.0
991.0,300.0,297300.0
602.0,350.0,210700.0
2620.0,15.0,39300.0
